2023-11-01 at 17:51:25 | INFO | Verificando headers
2023-11-01 at 17:51:27 | INFO | Enviando requisição POST
2023-11-01 at 17:51:27 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:27 | INFO | Verificando headers
2023-11-01 at 17:51:28 | INFO | Enviando requisição POST
2023-11-01 at 17:51:28 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:28 | INFO | Verificando headers
2023-11-01 at 17:51:29 | INFO | Enviando requisição POST
2023-11-01 at 17:51:29 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:29 | INFO | Verificando headers
2023-11-01 at 17:51:30 | INFO | Enviando requisição POST
2023-11-01 at 17:51:30 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:30 | INFO | Verificando headers
2023-11-01 at 17:51:31 | INFO | Enviando requisição POST
2023-11-01 at 17:51:31 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:31 | INFO | Verificando headers
2023-11-01 at 17:51:32 | INFO | Enviando requisição POST
2023-11-01 at 17:51:32 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:32 | INFO | Verificando headers
2023-11-01 at 17:52:34 | INFO | Enviando requisição POST
2023-11-01 at 17:52:34 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:34 | INFO | Verificando headers
2023-11-01 at 17:52:35 | INFO | Enviando requisição POST
2023-11-01 at 17:52:35 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:35 | INFO | Verificando headers
2023-11-01 at 17:52:36 | INFO | Enviando requisição POST
2023-11-01 at 17:52:36 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:36 | INFO | Verificando headers
2023-11-01 at 17:52:37 | INFO | Enviando requisição POST
2023-11-01 at 17:52:37 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:37 | INFO | Verificando headers
2023-11-01 at 17:52:38 | INFO | Enviando requisição POST
2023-11-01 at 17:52:38 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:38 | INFO | Verificando headers
2023-11-01 at 17:52:39 | INFO | Enviando requisição POST
2023-11-01 at 17:52:39 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:39 | INFO | Verificando headers
2023-11-01 at 17:52:40 | INFO | Enviando requisição POST
2023-11-01 at 17:52:40 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:40 | INFO | Verificando headers
2023-11-01 at 17:52:41 | INFO | Enviando requisição POST
2023-11-01 at 17:52:41 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:41 | INFO | Verificando headers
2023-11-01 at 17:52:43 | INFO | Enviando requisição POST
2023-11-01 at 17:52:43 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:43 | INFO | Verificando headers
2023-11-01 at 17:52:44 | INFO | Enviando requisição POST
2023-11-01 at 17:52:44 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:44 | INFO | Verificando headers
2023-11-01 at 17:52:45 | INFO | Enviando requisição POST
2023-11-01 at 17:52:45 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:45 | INFO | Verificando headers
2023-11-01 at 17:52:46 | INFO | Enviando requisição POST
2023-11-01 at 17:52:46 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:46 | INFO | Verificando headers
2023-11-01 at 17:52:47 | INFO | Enviando requisição POST
2023-11-01 at 17:52:47 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:47 | INFO | Verificando headers
2023-11-01 at 17:52:48 | INFO | Enviando requisição POST
2023-11-01 at 17:52:48 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:48 | INFO | Verificando headers
2023-11-01 at 17:52:49 | INFO | Enviando requisição POST
2023-11-01 at 17:52:49 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:49 | INFO | Verificando headers
2023-11-01 at 17:52:50 | INFO | Enviando requisição POST
2023-11-01 at 17:52:50 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:50 | INFO | Verificando headers
2023-11-01 at 17:52:51 | INFO | Enviando requisição POST
2023-11-01 at 17:52:51 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:51 | INFO | Verificando headers
2023-11-01 at 17:52:52 | INFO | Enviando requisição POST
2023-11-01 at 17:52:52 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:52 | INFO | Verificando headers
2023-11-01 at 17:52:53 | INFO | Enviando requisição POST
2023-11-01 at 17:52:53 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:53 | INFO | Verificando headers
2023-11-01 at 17:52:54 | INFO | Enviando requisição POST
2023-11-01 at 17:52:54 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:54 | INFO | Verificando headers
2023-11-01 at 17:52:55 | INFO | Enviando requisição POST
2023-11-01 at 17:52:55 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:55 | INFO | Verificando headers
2023-11-01 at 17:52:56 | INFO | Enviando requisição POST
2023-11-01 at 17:52:56 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:56 | INFO | Verificando headers
2023-11-01 at 17:52:58 | INFO | Enviando requisição POST
2023-11-01 at 17:52:58 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:58 | INFO | Verificando headers
2023-11-01 at 17:52:59 | INFO | Enviando requisição POST
2023-11-01 at 17:52:59 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:52:59 | INFO | Verificando headers
2023-11-01 at 17:53:00 | INFO | Enviando requisição POST
2023-11-01 at 17:53:00 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:00 | INFO | Verificando headers
2023-11-01 at 17:53:01 | INFO | Enviando requisição POST
2023-11-01 at 17:53:01 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:01 | INFO | Verificando headers
2023-11-01 at 17:53:02 | INFO | Enviando requisição POST
2023-11-01 at 17:53:02 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:53:02 | INFO | Verificando headers
2023-11-01 at 17:53:03 | INFO | Enviando requisição POST
2023-11-01 at 17:53:03 | INFO | Requisição realizada com sucesso!
